apart_id,author_id,date,review
17553210,25374540,2017-03-22T07:48:00Z,"Переночевать командировочному, не более. Хозяйка молодец, разрешила поздний выезд."
16717403,111371396,2017-02-24T04:32:09Z,"Удобное расположение квартиры. Очень приветливая хозяйка. Советую брать полный пансион, потому что вкуснее и дешевле вам покушать не удастся. Забота о госте на высшем уровне. "
14990253,96849894,2016-12-27T07:28:03Z,"Комфортно. Тихо, спокойно, тепло и светло. "
9082939,8157461,2016-06-14T06:20:23Z,"Хостел в аутентичном стиле, в центре, в красивом здании. Все отлично!"
2156700,78979749,2016-07-11T02:45:22Z,"Всё соответствовало описанию, чисто, уютно, доброжелательно. "
2156549,13816409,2016-06-23T01:36:20Z,"Отличное место, чисто, тихо, приятно. Милые администраторы и удобное расположение. Хорошо что рядом есть большой магазин, ходит огромное количество транспорта, практически в любую часть города. Так же можно быстро добраться на пляж."
2156549,9698776,2015-12-25T14:06:47Z,"Забронировал жильё через Airbnb, место в шестиместном хостеле, по приезду выяснилось что там уже занято, поселили в общей комнате, в принципе для меня не проблема. Так же был небольшой трабл с оплатой, не смогли сразу увидеть мою оплату, попросили показать смску о списании средств)) как мне сказали, через это приложение никто не оплачивал еще. В целом все хорошо, хостел чистый, персонал приветливый. Рекомендую."
2156549,13998044,2014-05-25T12:28:55Z,"I had a great experience staying here, even though it was just for one night. A good location, lovely living quarters, and really wonderful hosts. I would certainly stay here again :)

Мне очень понравился этот хостел, даже если я там остановилась одна ночь.   Хорошое расположение, удобные и уютные комнаты, и замечательные хозяйки. Я бы с удовольствием остаться еще раз. "
10223513,23365188,2017-02-25T06:31:31Z,Спасибо большое за жильё. Очень близко автовокзал и торговый центр. 
10223513,102838202,2016-11-27T07:06:04Z,"Был неделю в одиночном отпуске, есть всё необходимое, рекомендую."
10223513,103005777,2016-11-14T05:08:22Z,"Приезжал в Самару на выходные, особых требований к квартире не было, главное, чтобы можно было переночевать, поэтому меня квартира Алексея полностью устроила. В квартире ничего лишнего, всё только самое необходимое. Фотографиям и описанию соответствует. 
Время заезда и выезда правда гибкие, необходимо только договориться с Алексеем, который в этом вопросе старается идти навстречу, за что ему спасибо. "
10223513,27770960,2016-11-11T07:40:30Z,"Очень рекомендуем Алексея для сотрудничества! Помимо приятного общения, чувствуется расположенность к общению. Квартира маленькая, но есть все, что нужно: балкон, ванная, туалет, кухня, утюг, фен, тв, интернет, полотенца! Рядом находится тц Космопорт, очень удобно. 
По нашей просьбе, Алексей заселил нас в 4 утра, за что большое ему спасибо!"
10223513,23365188,2016-11-04T06:14:19Z,Жилье понравилось. Очень тепло.
10223513,99763483,2016-10-28T05:36:53Z,"Останавливались пару раз, все соответствует,  как на фото, хозяин отзывчивый. Спасибо."
10223513,99763483,2016-10-20T06:06:39Z,"Все понравилось. Тепло, уютно, есть все необходимо."
10223513,50981693,2016-10-14T07:52:29Z,"Все соответствует заявленному! Отличное место на 1-2 ночи , командировочным смело рекомендую"
10223513,90382792,2016-09-05T07:26:32Z,"Я был в Самаре проездом, останавливался на одну ночь. Требование к ночлегу были минимальными, квартира им соответствовала. Алексей контактный человек, проблем со связью с ним не было. Район оценить не успел, уехал рано утром. Недостатки - неприятный запах в подъезде, тесный санузел."
10223513,23365188,2016-09-05T02:24:29Z,"Алексей очень гостеприимен. Все понравилось. Тепло и комфортно.Уютное жилье(есть все необходимое), удобное месторасположение (рядом центральный автовокзал, ТК ""Космопорт"", 2 станции метро, остановки, ""Магнит"", аптеки). От остановки можно добраться много куда. "
10223513,23365188,2016-08-29T11:39:18Z,Алексей как всегда был гостеприимен. Спасибо ему за это большое. Фотографии соответствуют действительности. Всем советую.
10223513,86663767,2016-07-31T05:17:05Z,"Жилье полностью соответствует цене за сутки. Чисто, просто, легко добраться. Приветливый хозяин, гибкий подход к приездам и отъездам гостей - мы уезжали очень рано)))
Понравилось, ничего лишнего, все необходимое))) Для таких туристов (на один-два дня) как мы - идеальный вариант)))
Спасибо, Алексею за заботы и гостеприимство))) "
10223513,20195144,2016-05-19T03:04:32Z,"Жилье полностью соответствует фотографиям, подходит для рабочих поездок. Удобное расположение - в шаговой доступности Магнит, банкоматы Сбербанка, остановка."
10223513,18082155,2016-05-16T00:54:16Z,"Алексей гостеприимен.
Близко от автовокзала.
Не далеко расположен  парк Гагарина с атракционами - прекрасный досуг для детей. Квартира соответствует описанию. Есть минимум условий но всё отдельно, санузел с душевой и мини кухня прямо в комнате - очень удобно. В следующий раз поедем в Самару вновь расчитываю остановиться у Алексея. Спасибо!
"
10223513,67906389,2016-05-04T01:33:16Z,"В целом, всё хорошо. 
Квартирка хоть и очень маленькая, но уютная, соответствует фото.
Рядом остановка и продуктовые магазины.
Единственное пожелание- установить котел (нагреватель воды), так как из-за отключения нам пришлось греть воду в чайнике и мыться в тазике. "
10223513,63989639,2016-04-29T00:46:13Z,"Квартира-студия полностью соответствует описанию. Есть всё для проживания: диван, постельные принадлежности и бельё, комод, шкаф, стол-книжка, холодильник, посуда, столовые приборы; электроплитка, фен, утюг, гладильная доска и стиральная машина; ТВ и беспроводной интернет. Застеклённая лоджия. В квартире было тепло, несмотря на то, что отопление уже отключили. Рядом с домом отделение  Сбербанка, аптеки, продуктовые магазины, остановки общественного транспорта, откуда можно добраться в любой конец города. Алексей - доброжелательный хозяин, всегда был готов решить любой возникающий вопрос. Всё понравилось."
10223513,64461469,2016-03-31T11:41:26Z,"Все  было так как описано, никаких неприятных сюрпризов или проблем. Алексей все показал, встретил вовремя. Комната небольшая но уютная."
10223513,42526365,2016-03-23T08:40:01Z,"Отличная и очень уютная квартира. Все необходимое есть, хозяин вежливый и очень приятный. Спасибо ему за то, что выручил! :)
Удобное расположение, вокруг остановки общественного транспорта и магазин. Единственный минус - работает он странно, в 21.30 уже закрыт.
Но доехать до круглосуточного не составит никаких проблем.
В остальном - все отлично, телевизор, кухня, фен и утюг, быстрый интернет.
В следующий раз только сюда. "
10223513,50973878,2016-03-11T20:34:39Z,"В квартире полный порядок и есть все необходимое. Проблем с парковкой нет, мест вполне достаточно. Удобное расположение: сбербанк и ""Магнит"" в соседнем доме. Отличный вариант для отдыха и деловых поездок."
10223513,59783634,2016-03-09T14:55:44Z,"Удобная квартира, чистая, есть все необходимое. Отлично выспались!"
14206960,61186277,2016-09-22T18:18:27Z,The host canceled this reservation 2 days before arrival. This is an automated posting.
8277802,120034473,2017-03-16T06:29:58Z,"Комната как на фото, от вокзала 30 минут. Вполне тихо,4-5 дней на двоих вполне нормально."
8277802,38893817,2017-01-09T07:17:05Z,"Все понравилось, все как на фотографиях. Рекомендую))"
8277802,78841692,2016-10-02T04:19:11Z,"Маленькая студия, все как на фотографиях. 
Удобное расположение, легко добраться, рядом несколько магазинов.
Из-за того что отопление еще не включили и студия на 1ом этаже было достаточно прохладно, но спать нормально.
На несколько ночей вариант отличный.


"
8277802,90441177,2016-09-26T06:31:05Z,"Квартира понравилась. Все необходимые удобства были, все соответствует описанию. Район нормальный, недалеко от клуба, в котором проходил концерт, ради которого мы собственно и приехали. Нас встретил брат Алексея, все рассказал, показал.
На несколько ночей вариант отличный. Хорошее соотношение цена/качество.
В целом очень довольны. Спасибо Алексею."
